gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
911441925		http://vertnet.org/resources/norms.html																								http://arctos.database.museum/guid/UAM:Inv:9159?seid=2327953										CC_BY_4_0			2023-01-17T15:07:07.400Z			http://arctos.database.museum/guid/UAM:Inv:9159														UAM	11		UAM	Inv			PRESERVED_SPECIMEN			verbatim agent=Donohue	http://arctos.database.museum/guid/UAM:Inv:9159?seid=2327953	UAM:Inv:9159														unverified	PRESENT	whole organism (isopropanol)						other identifier=AB09-0005		http://arctos.database.museum/guid/UAM:Inv:9159				"[{""scientific_name"":""Octopoteuthis deletron"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""2009-05-18"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""A. Baldwin"",""concept_label"":null}]"						2009-05-18T00:00:00	2009-05-18		138	2009	5	18	18 May 09										United States, Alaska	NORTH_AMERICA				US	Alaska			Tee Harbor, Juneau Quad, Alexander Archipelago	Tee Harbor						Robert Marcotte		58.40972	-134.75833				decimal degrees		POLYGON((-134.758321443197 58.409719983865,-134.758321613612 58.4097191080834,-134.758322106311 58.4097182665777,-134.758322902359 58.4097174916865,-134.758323971167 58.4097168131884,-134.758325271658 58.4097162571576,-134.758326753857 58.4097158449621,-134.758328360804 58.4097155924425,-134.758330030744 58.4097155093027,-134.758331699502 58.4097155987379,-134.75833330295 58.4097158573111,-134.758334779467 58.4097162750856,-134.758336072312 58.4097168360063,-134.758337131801 58.4097175185176,-134.75833791722 58.4097182963908,-134.758338398384 58.4097191397329,-134.758338556803 58.4097200161345,-134.758338386389 58.409720891916,-134.75833789369 58.4097217334217,-134.758337097642 58.4097225083131,-134.758336028835 58.4097231868113,-134.758334728343 58.4097237428422,-134.758333246143 58.4097241550378,-134.758331639196 58.4097244075575,-134.758329969256 58.4097244906973,-134.758328300497 58.409724401262,-134.758326697049 58.4097241426888,-134.758325220532 58.4097237249142,-134.758323927687 58.4097231639933,-134.758322868198 58.409722481482,-134.758322082779 58.4097217036086,-134.758321601616 58.4097208602666,-134.758321443197 58.409719983865))			Robert Marcotte	2014-05-02 00:00:00	not recorded	not recorded																						A		A. Baldwin		2009-05-18T00:00:00		unknown	Former nature_of_id: legacy.									Octopoteuthis deletron R.E.Young, 1972							Animalia, Mollusca, Cephalopoda, Teuthida, Oegopsina, Octopoteuthidae, Octopoteuthis,	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES			ICZN	ACCEPTED			80ebe7f9-00ee-4fe3-80f6-303729cf5bac	US	2023-03-29T17:11:36.030Z								GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-03-29T17:11:36.030Z	2023-03-29T17:10:33.754Z	false		USA	United States	USA.2_1	Alaska	USA.2.10_1	Juneau			DD	
609426611																										urn:catalog:CAS:IZ:144139									en	CC0_1_0																		Physical Object		http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PRESERVED_SPECIMEN				urn:catalog:CAS:IZ:144139	144139		R. Van Syoc													PRESENT	Fluid-75% EtOH(1)																	055310	1999-07-19T00:00:00	1155	200		1999	7	19	19 Jul 1999										North America, North Pacific Ocean, United States					US	Alaska			Gulf of Alaska									55.744417	-135.3721																																				K. Tsuchiya		2001-02-07T00:00:00												Octopoteuthis deletron R.E.Young, 1972							Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Oegopsida, Onychoteuthoidea, Octopoteuthidae	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES			ICZN	ACCEPTED			44bcde48-ac71-46f2-bf73-24fc3c008b6c	US	2023-04-10T22:56:22.297Z			662.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;COLLECTION_MATCH_FUZZY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-04-10T22:56:22.297Z	2023-04-10T22:53:44.930Z	false										DD	
609426594																										urn:catalog:CAS:IZ:144134									en	CC0_1_0																		Physical Object		http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PRESERVED_SPECIMEN				urn:catalog:CAS:IZ:144134	144134		R. Van Syoc													PRESENT	Fluid-75% EtOH(1)																	055308	1999-07-20T00:00:00	0734	201		1999	7	20	20 Jul 1999										North America, North Pacific Ocean, United States					US	Alaska			Gulf of Alaska									55.64505	-135.3399																																				K. Tsuchiya		2001-02-07T00:00:00												Octopoteuthis deletron R.E.Young, 1972							Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Oegopsida, Onychoteuthoidea, Octopoteuthidae	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES			ICZN	ACCEPTED			44bcde48-ac71-46f2-bf73-24fc3c008b6c	US	2023-04-10T22:56:22.163Z			798.0					GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;COLLECTION_MATCH_FUZZY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-04-10T22:56:22.163Z	2023-04-10T22:53:44.930Z	false										DD	
609368478																										urn:catalog:CAS:IZ:30232									en	CC0_1_0																		Physical Object		http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PRESERVED_SPECIMEN				urn:catalog:CAS:IZ:30232	30232		"Vessel ""John M. Cobb"""													PRESENT	Fluid-75% EtOH(5)							Spec. notes: 5										019430	1956-06-12T00:00:00		164	165	1956	6	12	12-13 Jun 1956							This is a combination of 2 localities; Drag #43 (12-13 Jun#1956, Lat. 47 50.8'N, Long. 125 53.2'W, Depth of trawl 45-46#fms., Bottom depth 850-900 fms, started dragging at 2317#hrs.). Drag #44 (13 Jun 1956, Lat 47 56.5'N, Long. 125#55.4'W, Depth of trawl [truncated] from loc.descr: DEPTH: 15-16.5 and 45-46 fms.			North America, United States					US	Washington			off Strait of Juan de Fu and									47.846667	-125.886667																																				F.G. Hochberg		1982-06-09T00:00:00												Octopoteuthis deletron R.E.Young, 1972							Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Oegopsida, Onychoteuthoidea, Octopoteuthidae	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES			ICZN	ACCEPTED			44bcde48-ac71-46f2-bf73-24fc3c008b6c	US	2023-04-10T22:56:17.457Z			55.775000000000006	28.345000000000002				COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;COLLECTION_MATCH_FUZZY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-04-10T22:56:17.457Z	2023-04-10T22:53:44.930Z	false										DD	
3350478063																										KM612266										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/KM612266																					PRESERVED_SPECIMEN				KM612266	OD-24		Monterey Bay Aquarium Research Institute													PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/KM612266			Octopoteuthis deletron voucher OD-24 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.											2012-09-03T00:00:00				2012	9	3																US				California									44.330002	-124.919998																																				Jesse T. Kelly						ASV:5e44a2c12b9b7cd070504a973f7b8743							https://www.ebi.ac.uk/ena/browser/view/Taxon:1582096	Octopoteuthis deletron R.E.Young, 1972								Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-14T15:20:58.186Z								COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-04-14T15:20:58.186Z	2023-04-14T15:01:11.235Z	true										DD	
3328624040																										4532									en	CC_BY_4_0			2021-06-09T03:50:02Z			http://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a2_19&pkey=NSMT-Mo%2C67813%2C												text					NSMT	Mo			PRESERVED_SPECIMEN				fc98054e-edbc-422d-859b-4b6da232f77b	67813															PRESENT																			1963-08-30T00:00:00				1963	8	30	19630830										West off North America, Eastern North Pacific					US				West off North America, Eastern North Pacific									44.423333	-125.301667																																																		Octopoteuthis deletron R.E.Young, 1972							Animalia|Mollusca|CEPHALOPODA|OCTOPOTEUTHIDAE|Octopoteuthis|deletron	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES				ACCEPTED			0991f9af-8ff9-4e34-a8b9-990bb522dc0c	JP	2023-03-27T00:43:51.422Z								COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-03-27T00:43:51.422Z	2023-03-27T00:43:43.418Z	true										DD	
3328624028																										4531									en	CC_BY_4_0			2021-06-09T03:50:02Z			http://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a2_19&pkey=NSMT-Mo%2C67812%2C												text					NSMT	Mo			PRESERVED_SPECIMEN				3de0cb3e-0410-4945-a1f7-0cbe7db3973c	67812															PRESENT																			1963-04-18T00:00:00				1963	4	18	19630418										West off North America, Eastern North Pacific					US				West off North America, Eastern North Pacific									46.24	-125.166667																																																		Octopoteuthis deletron R.E.Young, 1972							Animalia|Mollusca|CEPHALOPODA|OCTOPOTEUTHIDAE|Octopoteuthis|deletron	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES				ACCEPTED			0991f9af-8ff9-4e34-a8b9-990bb522dc0c	JP	2023-03-27T00:43:51.421Z			100.0	100.0				COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-03-27T00:43:51.421Z	2023-03-27T00:43:43.418Z	true										DD	
3328624025																										4530									en	CC_BY_4_0			2021-06-09T03:50:02Z			http://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a2_19&pkey=NSMT-Mo%2C67811%2C												text					NSMT	Mo			PRESERVED_SPECIMEN				eaf93c07-2d43-421b-b874-45a5adfba4f5	67811															PRESENT																			1962-01-24T00:00:00				1962	1	24	19620124										West off North America, Eastern North Pacific					US				West off North America, Eastern North Pacific									44.75	-125.266667																																																		Octopoteuthis deletron R.E.Young, 1972							Animalia|Mollusca|CEPHALOPODA|OCTOPOTEUTHIDAE|Octopoteuthis|deletron	Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES				ACCEPTED			0991f9af-8ff9-4e34-a8b9-990bb522dc0c	JP	2023-03-27T00:43:51.421Z			500.0	500.0				COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-03-27T00:43:51.421Z	2023-03-27T00:43:43.418Z	true										DD	
3066583164																										4737616										CC_BY_4_0											Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans							Set/tow level information		https://edmo.seadatanet.org/report/4180			PBS		West Coast Haida Gwaii Synoptic Bottom Trawl Survey		HUMAN_OBSERVATION				4737616																PRESENT								Catch records from research trawl trip 84230, tow number 19								4546694	84230		2018-09-07T10:11:53				2018	9	7								Research trawl tow number 19								CA												Pacific States Marine Fisheries Commission Area 5E: WEST COAST Q.C. ISLANDS	53.388516	-133.212383						POLYLINE=((53.388517,-133.212383,53.411617,-133.223133))																																					urn:lsid:marinespecies.org:taxname:342057							Octopoteuthis deletron R.E.Young, 1972								Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES				ACCEPTED			9fcd8de5-a2b6-4c72-b863-debe63ee3a72	CA	2023-01-24T23:00:33.276Z			913.0	58.0				GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;RECORDED_DATE_UNLIKELY		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-01-24T23:00:33.276Z	2023-01-13T01:13:28.494Z	false										DD	
3066582794																										3236707										CC_BY_4_0											Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans							Set/tow level information		https://edmo.seadatanet.org/report/4180			PBS		West Coast Haida Gwaii Synoptic Bottom Trawl Survey		HUMAN_OBSERVATION				3236707																PRESENT								Catch records from research trawl trip 69890, tow number 115								2179167	69890		2010-09-14T16:07:00				2010	9	14								Research trawl tow number 115								CA												Pacific States Marine Fisheries Commission Area 5E: WEST COAST Q.C. ISLANDS	53.293483	-133.236683						POLYLINE=((53.293483,-133.236683,53.305883,-133.228683))																																					urn:lsid:marinespecies.org:taxname:342057							Octopoteuthis deletron R.E.Young, 1972								Animalia	Mollusca	Cephalopoda	Oegopsida	Octopoteuthidae		Octopoteuthis	Octopoteuthis			deletron			SPECIES				ACCEPTED			9fcd8de5-a2b6-4c72-b863-debe63ee3a72	CA	2023-01-24T23:00:32.802Z			561.0	10.0				GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES		true	false	2289878	2289878	1	52	136	8403901	2871	2289867		2289878	Octopoteuthis deletron	Octopoteuthis deletron R.E.Young, 1972	Octopoteuthis deletron		EML	2023-01-24T23:00:32.802Z	2023-01-13T01:13:28.494Z	false										DD	
